"";"region";"iso3c";"country";"year";"system";"leader";"party_name";"pf_party_id";"party_short";"cg_pcp_sexp";"cg_prop_sexp";"cg_prop_def";"cg_gdp_sexp";"n_sp";"n_cct";"n_lpi";"n_ncp";"all_cmd_imports";"real_cmd_exports_pcp";"pop";"maj";"execrlc";"exelec";"statecap_baseline";"v2x_polyarchy";"demstock_one";"gdp_pcp_ppp";"inf_eop_g";"unemp";"gg_rev";"cgov_debt";"kof_trade_df";"kof_trade_dj";"def_prop_gdp";"milex";"urban_pop";"dp_ratio_old";"dp_ratio_yg";"civtot";"ajr_settmort";"dist";"v2pariglef_ord";"milex_pop"
"392";"Caribbean";"TTO";"Trinidad & Tobago";2004;"Parliamentary";"Patrick Augustus Mervyn Manning";"People’s National Movement";4283;"PNM";;;;;0;0;0;0;1983160;3303,29089212029;1361;0,55555558;"Right";0;1,32570397853851;0,758;0,321579829383057;23382,542;5,593;;25,256;23,207828689122;42,8829231262207;42,9769821166992;0,56332687432576;189,789853125692;55,5711241312409;7,19952837286577;31,462456377582;0;4,44;2542282,63112054;3;13,9448826690443
"393";"Caribbean";"TTO";"Trinidad & Tobago";2005;"Parliamentary";"Patrick Augustus Mervyn Manning";"People’s National Movement";4283;"PNM";;;;;0;1;0;1;3071354;4938,64014797158;1369;0,55555558;"Right";0;1,33812236785889;0,759;0,326564685396751;24639,077;7,203;;30,373;19,012299294603;48,0117416381836;47,9763259887695;0,604538000333575;228,764076844757;55,3898955519853;7,29917920278181;30,4396170322339;0;4,44;2542282,63112054;3;16,7103051018815
"394";"Caribbean";"TTO";"Trinidad & Tobago";2006;"Parliamentary";"Patrick Augustus Mervyn Manning";"People’s National Movement";4283;"PNM";;;;;0;0;0;0;3465449;7193,17476861079;1377;0,55555558;"Right";0;1,33812236785889;0,763;0,331510597975717;28002,475;9,091;;34,275;16,207078393171;45,87890625;49,1492538452148;0,621275873847403;250,147702255064;55,1782455797922;7,43854973358704;29,6161879399298;0;4,44;2542282,63112054;3;18,166136692452
"395";"Caribbean";"TTO";"Trinidad & Tobago";2007;"Parliamentary";"Patrick Augustus Mervyn Manning";"People’s National Movement";4283;"PNM";;;;;0;0;0;0;4332211;6235,53600908099;1385;0,55555558;"Right";0;1,33812236785889;0,76;0,336450671930529;29062,405;7,609;;30,018;15,653623377992;44,1601486206055;49,9986152648926;0,568668581528334;250,907132902282;54,9393004563973;7,62143588443091;28,9425727965595;0;4,44;2542282,63112054;3;18,1160384766991
"396";"Caribbean";"TTO";"Trinidad & Tobago";2008;"Parliamentary";"Patrick Augustus Mervyn Manning";"People’s National Movement";4283;"PNM";1349,4742777;24,8322507744181;1,78599884576171;7,279939792;0;0;0;0;5472010;8282,03756369264;1393;0,63414633;"Right";0;1,33812236785889;0,764;0,341308629769566;29880,409;14,478;;33,9;13,020744603064;47,8964576721191;52,4244995117188;0,493375226495272;248,199016665683;54,6761864235364;7,851944401062;28,3953355198084;0;4,44;2542282,63112054;3;17,8175891360864
"397";"Caribbean";"TTO";"Trinidad & Tobago";2009;"Parliamentary";"Patrick Augustus Mervyn Manning";"People’s National Movement";4283;"PNM";2090,6490284;34,5960798992303;2,1765977049339;10,045400845;0;0;0;0;3765603;4492,98505448165;1401;0,63414633;"Right";0;1,33812236785889;0,764;0,346161628531848;28299,848;1,324;;28,515;20,038639513764;41,6931571960449;52,2952156066895;0,709658644481144;232,353969957719;54,3920297229449;8,13377794398737;27,9612316130641;0;4,44;2542282,63112054;3;16,5848658071177
"398";"Caribbean";"TTO";"Trinidad & Tobago";2010;"Parliamentary";"Kamla Persad-Bissessar";"United National Congress";4281;"UNC";1945,0705392;35,2401299782524;2,20691391761555;10,468759813;0;0;1;1;3673298;4692,04824135076;1410;0,63414633;"Right";0;1,14815104007721;0,775;0,350966097306508;29120,112;13,353;;31,657;19,582731632175;42,4073753356934;52,1326103210449;0,635217366605715;218,805624842225;54,0899565963587;8,46968825242247;27,6404960939881;0;4,44;2542282,63112054;2;15,5181294214344
"399";"Caribbean";"TTO";"Trinidad & Tobago";2011;"Parliamentary";"Kamla Persad-Bissessar";"United National Congress";4281;"UNC";1974,8535806;35,9557434740991;1,93589915173834;10,725824542;0;0;0;0;5839560;5675,14095534686;1420;0,70731705;"Left";0;1,14815104007721;0,78;0,35584247777292;28889,484;5,25;;29,713;27,976856998687;61,4912490844727;51,4190406799316;0,566437190906244;213,691508130831;53,9253615474727;8,86429947362642;27,426229188539;0;4,44;2542282,63112054;2;15,0486977556923
"400";"Caribbean";"TTO";"Trinidad & Tobago";2012;"Parliamentary";"Kamla Persad-Bissessar";"United National Congress";4281;"UNC";1948,0185143;34,2285369848766;1,9604022305117;10,287733443;0;0;0;0;5475920;4679,83480755919;1430;0,70731705;"Left";0;1,14815104007721;0,78;0,360724620061712;29699,241;7,178;;28,855;24,552666935094;58,568775177002;52,3654899597168;0,641229257894688;226,663337806519;53,9254053431618;9,32097780178764;27,2891906492486;0;4,44;2542282,63112054;2;15,850583063393
"401";"Caribbean";"TTO";"Trinidad & Tobago";2013;"Parliamentary";"Kamla Persad-Bissessar";"United National Congress";4281;"UNC";1992,5236885;34,332830212129;2,66855753689719;10,503997684;0;0;0;0;8163799;7162,54246470001;1441;0,70731705;"Left";0;1,09206664562225;0,746;0,365557940927616;30537,878;5,675;;29,416;24,355579293123;64,573486328125;48,4908447265625;0,76306904134769;270,155827203461;53,9255789963372;9,84058376968168;27,2036017395322;0;4,44;2542282,63112054;2;18,7478020266108
"402";"Caribbean";"TTO";"Trinidad & Tobago";2014;"Parliamentary";"Kamla Persad-Bissessar";"United National Congress";4281;"UNC";1954,7049019;31,2313644763097;2,05489829229505;10,329826791;0;0;0;0;6835906;5271,15437933131;1451;0,70731705;"Left";0;1,22090721130371;0,746;0,369972154320957;31538,764;8,378;;28,973;23,42399054104;61,2341423034668;44,6602325439453;0,656301051048555;227,452953990489;53,9259699537793;10,4215490198484;27,1373970871523;0;4,44;2542282,63112054;2;15,6755998615085
"403";"Caribbean";"TTO";"Trinidad & Tobago";2015;"Parliamentary";"Keith Christopher Rowley";"People’s National Movement";4283;"PNM";2337,875812;35,762431601228;2,26759286934596;11,953558338;0;0;0;0;4364306;3688,94178773111;1460;0,70731705;"Left";0;1,27016615867615;0,764;0,374342225580365;31661,253;1,586;;27,086;27,828598449579;59,9039535522461;44,1623992919922;0,752974392707466;231,386196245396;53,926665238022;11,0612318006192;27,0791433177247;0;4,44;2542282,63112054;4;15,848369605849
"404";"Caribbean";"TTO";"Trinidad & Tobago";2016;"Parliamentary";"Keith Christopher Rowley";"People’s National Movement";4283;"PNM";2396,58681;40,1315797887096;2,88215507470994;13,16704533;0;0;0;0;3654461;2400,96849730083;1469;0,56097561;"Right";0;1,69171535968781;0,754;0,378864888384539;29124,383;3,122;;21,742;37,697617479;59,2833061218262;43,9104461669922;0,914265892901233;250,879607477859;53,9277523084951;11,7446169992948;27,0219050820774;0;4,44;2542282,63112054;4;17,0782578269475
"405";"Caribbean";"TTO";"Trinidad & Tobago";2017;"Parliamentary";"Keith Christopher Rowley";"People’s National Movement";4283;"PNM";2014,2815728;38,7092293731659;3,08709369828059;12,082631073;0;0;0;0;3569712;2930,47552757675;1479;0,56097561;"Right";0;1,56471395492554;0,75;0,383233273306583;27596,02;1,325;;20,83;40,954665692968;62,1250419616699;41,84326171875;0,845376415248969;233,658273107464;53,9293186833833;12,4502939719817;26,94575338412;0;4,44;2542282,63112054;4;15,7983957476311
"406";"Caribbean";"TTO";"Trinidad & Tobago";2018;"Parliamentary";"Keith Christopher Rowley";"People’s National Movement";4283;"PNM";1997,1329131;39,9280522729172;2,33249123654327;11,880460329;0;0;0;0;4150425;3527,20045416349;1505;0,56097561;"Right";0;1,7862446308136;0,744;0,38751435387777;27315,67;1,027;;24,349;41,564976873345;63,4712562561035;42,5720024108887;0,694747131148301;190,170420023262;53,9314518934907;13,0498482504105;26,596144717943;0;4,44;2542282,63112054;4;12,6359083071935
"407";"Caribbean";"TTO";"Trinidad & Tobago";2019;"Parliamentary";"Keith Christopher Rowley";"People’s National Movement";4283;"PNM";1983,7156561;38,2131705200941;2,44495150566399;11,908869878;0;0;0;0;3133803;2293,37897315626;1520;0,56097561;"Right";0;1,7443505525589;0,75;0,391687192890791;27313,577;0,37;;27,542;45,409163431672;46,1658897399902;46,2545967102051;0,733109759963043;195,705061187839;53,9342394732739;13,8060671978814;26,4149992958029;;4,44;2542282,63112054;4;12,8753329728841
"408";"Caribbean";"TTO";"Trinidad & Tobago";2020;"Parliamentary";"Keith Christopher Rowley";"People’s National Movement";4283;"PNM";2057,9817256;38,9815862803129;2,17251866694723;12,71761176;0;0;0;0;2019333;1754,79318333923;1518;0,56097561;"Right";0;1,8545960187912;0,753;0,395883734266136;24753,841;0,829;;23,935;61,008455862172;40,866641998291;46,3787422180176;0,812607258583509;191,804078552392;53,9377689584806;14,7495908144033;26,473688126178;;4,44;2542282,63112054;4;12,6353147926477
"409";"Caribbean";"TTO";"Trinidad & Tobago";2021;;;;;;1944,3892609;;;12,964681179;0;0;0;0;;;;;;;1,57421684265137;0,77;0,400071025603955;24369,173;3,47;;23,406;58,93159969017;47,4055213928223;43,0103721618652;0,859057055256023;229,08432185217;53,9421278853848;15,4744035228847;26,2908121376977;;4,44;2542282,63112054;;
"410";"Central America";"BLZ";"Belize";1990;"Parliamentary";;;;;;25,0686116840891;4,27009404607908;;0;0;0;0;;;;0,53571427;"Right";0;;;;6178,562;4,384;15;;30,798585310322;60,5761337280273;14,3782119750977;0,894743197157451;8,72333233425518;47,3571892508649;7,93702922886231;86,0137933956967;;5,1;922543,573063737;;
"411";"Central America";"BLZ";"Belize";1991;"Parliamentary";;;;;;25,4509664719739;3,35746375954192;;0;0;0;0;;;;0,53571427;"Right";0;;;;6709,345;3,121;14;;31,931453835467;61,1013717651367;14,3471908569336;0,818168468482646;8,59223857454691;47,2992377705329;7,89739780020223;85,0915206669556;;5,1;922543,573063737;;
"412";"Central America";"BLZ";"Belize";1992;"Parliamentary";;;;;;26,3688266684314;3,30618040055589;;0;0;0;0;;;;0,53571427;"Right";0;;;;7327,866;2,032;12;;32,172309772763;59,6089096069336;14,5843591690063;0,788094264285229;9,38264798206365;47,3157093961853;7,69346567245065;83,9737864175105;;5,1;922543,573063737;;
"413";"Central America";"BLZ";"Belize";1993;"Parliamentary";;;;;;33,1552626591045;3,69866009593655;;0;0;0;0;;;;0,53571427;"Right";0;;;;7559,813;2,29;10;;31,784300997955;56,9597320556641;14,504355430603;0,844087949169837;10,7110881961;47,3536666895074;7,34383381284439;82,7395523479787;;5,1;922543,573063737;;
"414";"Central America";"BLZ";"Belize";1994;"Parliamentary";;;;;;37,636587162168;4,82500508664491;;0;0;0;0;;;;0,55172414;"Right";0;;;;7356,477;1,842;9;;32,37584480329;54,7558822631836;14,5131311416626;1,05288722447478;13,4561776215585;47,4066621669842;7,06839466464857;81,2742408476019;;5,1;922543,573063737;;
"415";"Central America";"BLZ";"Belize";1995;"Parliamentary";;;;;;37,5252376751936;5,18213597307981;;0;0;0;0;87385;635,13468894895;204;0,55172414;"Right";0;;;;7215,799;3,937;12,5;;36,71939053394;53,8027877807617;14,4906196594238;1,01132983352715;13,3324017558561;47,4683420814088;6,92695674421155;79,6065495879096;;5,1;922543,573063737;;6,53549105679222
"416";"Central America";"BLZ";"Belize";1996;"Parliamentary";;;;;;34,5857681862666;5,02075328606808;;0;0;0;0;92367;650,140703861096;210;0,55172414;"Right";0;;;;7111,148;6,354;13,8;18,119;39,410618543931;51,2540092468262;17,5180988311768;0,962038381608788;12,4459597758353;47,5323526855742;6,90036705948471;77,7797291838634;;5,1;922543,573063737;;5,92664751230254
"417";"Central America";"BLZ";"Belize";1997;"Parliamentary";;;;;;35,0811580073846;5,52866163526241;;0;0;0;0;91071;682,085770394471;217;0,55172414;"Right";0;;;;7110,521;-0,536;12,7;18,228;40,712149149491;54,1160278320312;17,0394268035889;1,11142453608722;14,5120890765984;47,5923402322735;6,93885100765939;75,8825952799334;;5,1;922543,573063737;;6,6875986528103
"418";"Central America";"BLZ";"Belize";1998;"Parliamentary";;;;;;;;;0;0;0;0;96769;604,457821252404;225;0,55172414;"Right";0;;;;7123,827;-0,852;14,3;18,525;40,333549883113;52,7139892578125;17,6308269500732;;;47,6419509742997;6,98839556409782;74,0938809318933;;5,1;922543,573063737;;
"419";"Central America";"BLZ";"Belize";1999;"Parliamentary";;;;;;;;;0;0;0;0;176610;742,245787195691;233;0,89655173;"Right";0;;;;7617,649;-1,042;12,8;17,512;43,682503172587;56,1972236633301;17,9265289306641;;;47,6748311644458;7,02708532339075;72,5087048963116;;5,1;922543,573063737;;
"420";"Central America";"BLZ";"Belize";2000;"Parliamentary";;;;;;;;;0;0;0;0;177881;708,5625;240;0,89655173;"Right";0;;;;8378,141;0,995;11,4;16,804;78,999652;58,1464767456055;17,9479732513428;0,657400606900072;10,1691944764742;47,6836847507377;7,06073832951099;71,0845601834727;;5,1;922543,573063737;;4,2371643651976
